Image_IR_#,Species_given_name,Species_code,Species_latin_name_or_taxa,Order,Familly,length_mm,width_mm,height_mm,mm/dd/yy,Local_hour,Tbody_C,Tleaf_C,Tbody-Tleaf
8464,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:07,27,25.2,1.8
8465,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:09,28.2,25.5,2.7
8465,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:09,29,25.5,3.5
8465,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:09,28.6,25.5,3.1
8467,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:13,23.9,22.8,1.1
8473,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:29,29.2,27.5,1.7
8488,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,15:13,21.8,22.5,-0.7
8488,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,15:13,22.7,22.6,0.1
8488,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,15:13,21.6,21.2,0.4
8488,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,15:13,23.6,23.5,0.1
8489,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,15:15,29.5,26.4,3.1
8489,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,15:15,26.8,24.1,2.7
8489,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,15:15,26.4,24.1,2.3
8489,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,15:15,25.7,23.3,2.4
